id,judul,daerah,pulau,kategori,tokoh,ringkasan,teks,nilai_moral,kata_kunci,sumber,lisensi
CR-024,Sura dan Baya (Asal-usul Surabaya),Jawa Timur (Surabaya),Jawa,Legenda Asal-usul,Ikan Sura; Buaya,Ikan hiu dan buaya berebut daerah kekuasaan. Perkelahian mereka melahirkan nama Surabaya.,"Di muara sungai, hiu Sura dan buaya Baya berebut wilayah berburu. 
Mereka berjanji membagi area: Sura di laut, Baya di sungai. 
Saat kelaparan, Sura melanggar janji dan masuk ke sungai. 
Perkelahian hebat pun terjadi; air memerah dan tepi sungai hancur. 
Tempat itu kemudian disebut Sura-baya, mengingatkan agar janji dihormati.",Menepati janji; Penyelesaian sengketa; Batas wilayah,surabaya;hiu;buaya;muara,Tradisi lisan Jawa Timur,CC0 (retelling original)
CR-025,Asal-usul Banyuwangi,Jawa Timur (Banyuwangi),Jawa,Legenda,Sri Tanjung; Sidapaksa,"Sri Tanjung difitnah selingkuh. Untuk membuktikan kesucian, ia mencebur ke sungai yang lalu beraroma harum, sehingga tempat itu dinamai Banyuwangi.","Sidapaksa difitnah atas kesetiaan istrinya, Sri Tanjung. 
Dalam putus asa, Sri Tanjung memilih mencebur ke sungai sambil bersumpah bahwa air akan menjadi harum jika ia suci. 
Air pun semerbak wangi. Sidapaksa menyesal dan membersihkan nama istrinya. 
Sungai dan wilayah itu disebut Banyuwangi—air yang wangi—agar manusia tidak gegabah menuduh.",Jangan mudah menuduh; Kesucian hati; Penyesalan dan maaf,banyuwangi;sri tanjung;fitnah;air wangi,Tradisi lisan Jawa Timur,CC0 (retelling original)
CR-026,Telaga Warna (Dieng),Jawa Tengah (Dieng),Jawa,Legenda Asal-usul,Raja; Permaisuri; Putri,"Air mata putri yang tersinggung membuat permata jatuh ke telaga, memantulkan warna-warni hingga disebut Telaga Warna.","Raja dan permaisuri lama menanti keturunan. Ketika putri lahir, mereka menuruti semua keinginannya. 
Pada ulang tahun, putri menolak hadiah sederhana rakyat dan melempar kalung permata ke telaga. 
Permata pecah dan memantulkan warna-warni di air. 
Putri menyesal dan belajar menghargai ketulusan. 
Sejak itu telaga berkilau hijau, kuning, dan biru—dikenal sebagai Telaga Warna.",Rendah hati; Menghargai pemberian; Menahan nafsu,dieng;telaga warna;permata;putri manja,Tradisi lisan Jawa Tengah,CC0 (retelling original)
CR-027,Batu Gantung (Parapat),Sumatera Utara (Parapat),Sumatra,Legenda,Gadis; Ayah; Ibu,Gadis yang menolak mengakui orang tuanya berubah menjadi batu yang menggantung di tebing tepi Danau Toba.,"Dalam perjalanan, seorang gadis malu pada orang tuanya yang sederhana. 
Ia menolak berjalan bersama mereka dan mengaku bukan anak mereka. 
Tanah retak, tubuhnya ringan lalu membatu menggantung di tebing. 
Batu itu dilihat pelancong di Parapat sebagai peringatan agar anak menghormati orang tua.",Hormati orang tua; Jangan malu asal-usul; Kejujuran,parapat;batu gantung;danau toba;orang tua,Tradisi lisan Batak,CC0 (retelling original)
CR-028,Asal-usul Danau Sentani,Papua (Jayapura),Papua,Legenda Asal-usul,Tetua; Nelayan; Roh Penjaga,Gunung retak setelah pantangan adat dilanggar; air memenuhi lembah menjadi Danau Sentani.,"Tetua adat melarang warga menebang pohon keramat di punggung gunung. 
Saat larangan dilanggar, tanah bergemuruh dan retakan besar muncul. 
Mata air memancar, menenggelamkan lembah. 
Lembah itu menjadi Danau Sentani, dan masyarakat berjanji menjaga hutan di sekelilingnya.",Patuh adat; Jaga hutan; Dampak pelanggaran,sentani;papua;hutan keramat;adat,Tradisi lisan Sentani,CC0 (retelling original)
CR-029,Putri Karang Melenu,Kalimantan Timur (Kutai),Kalimantan,Legenda Asal-usul,Putri Karang Melenu; Aji Batara Agung Dewa Sakti,Kemunculan putri dari buih sungai Mahakam menandai berdirinya kerajaan Kutai dan tatanan adat setempat.,"Di hilir Mahakam, buih sungai membentuk buaian yang membawa bayi perempuan. 
Ia dinamai Putri Karang Melenu dan kelak dipersunting Aji Batara Agung. 
Dari mereka lahir tatanan adat Kutai serta upacara erau untuk mensyukuri berkah sungai. 
Kisah ini memuliakan sungai sebagai sumber hidup.",Syukur pada alam; Menjaga sungai; Asal-usul adat,kutai;mahakam;erau;putri,Tradisi lisan Kutai,CC0 (retelling original)
CR-030,Bujang Selamat dan Bujang Sengsara,Jambi,Sumatra,Legenda,Bujang Selamat; Bujang Sengsara; Ibu,"Dua saudara kembar menerima akibat berbeda dari sifat mereka: yang santun selamat, yang culas sengsara.","Seorang ibu memiliki dua anak kembar dengan watak berlawanan. 
Perjalanan mereka menguji kejujuran, kerja keras, dan keikhlasan. 
Bujang Selamat menolong tanpa pamrih dan selalu diselamatkan; Bujang Sengsara mengambil jalan singkat dan celaka. 
Akhirnya kampung memahami bahwa nasib dibentuk oleh budi pekerti.",Kejujuran; Kerja keras; Konsekuensi watak,jambi;kembar;nasib;akhlak,Tradisi lisan Jambi,CC0 (retelling original)
CR-031,Pulau Kemaro,Sumatera Selatan (Palembang),Sumatra,Legenda,Siti Fatimah; Tan Bun An; Raja Palembang,Tragedi cinta pedagang Tionghoa dan putri Palembang melahirkan legenda Pulau Kemaro di Sungai Musi.,"Tan Bun An membawa guci mahar untuk putri Siti Fatimah. 
Saat dibuka, isi guci terlihat sawi asin sehingga Tan Bun An marah dan membuangnya ke sungai. 
Guci pecah, emas jatuh berkilau—namun ia tenggelam saat mencoba mengambilnya. 
Siti Fatimah menyusul, dan di tengah sungai muncul pulau kecil yang disebut Pulau Kemaro. 
Kisah ini mengajarkan kehati-hatian dan kepercayaan dalam cinta.",Percaya pasangan; Jangan gegabah; Harga sebuah penyesalan,musi;pulau kemaro;guci;emas,Tradisi lisan Palembang,CC0 (retelling original)
CR-032,Putroe Neng,Aceh,Sumatra,Legenda Sejarah,Putroe Neng; Laksamana Malahayati (referensial),Kisah putri asing yang datang ke Aceh dan menjadi lambang keelokan serta keteguhan hati perempuan Aceh.,"Cerita rakyat menyebut seorang putri dari seberang lautan terdampar di pantai Aceh. 
Kecantikan dan kecerdasannya membuat rakyat menamainya Putroe Neng. 
Ia mengajarkan tata krama, tenun, dan diplomasi. 
Namanya melekat pada tempat dan legenda tentang harga diri perempuan Aceh.",Martabat; Ilmu dan adab; Keteguhan hati,aceh;putroe neng;adat;perempuan,Tradisi lisan Aceh,CC0 (retelling original)
CR-033,Sigale-gale,Sumatera Utara (Samosir),Sumatra,Legenda,Raja Rahat; Patung Sigale-gale; Roh Anak,Raja membuat patung kayu menari untuk mengobati rindu pada anak. Patung hidup saat upacara dan menjadi tradisi Sigale-gale.,"Raja Rahat kehilangan putra tunggal. 
Ia memahat patung kayu yang mirip anaknya dan memintanya menari pada upacara. 
Konon roh anak masuk ke patung; tangis rakyat pecah. 
Sejak itu, pertunjukan Sigale-gale menjadi cara menghormati arwah dan meneguhkan ikatan keluarga.",Menghormati leluhur; Duka dan pengharapan; Tradisi kolektif,batak;samosir;sigale-gale;ritual,Tradisi lisan Batak Toba,CC0 (retelling original)
CR-034,Danau Limboto,Gorontalo,Sulawesi,Legenda Asal-usul,Tetua; Nelayan; Putri Danau,Air bah menutup lembah setelah janji adat dilanggar; terbentuklah Danau Limboto.,"Warga sepakat tidak memancing di telaga keramat pada malam tertentu. 
Seorang pemuda melanggar dan menangkap ikan besar. 
Air bergejolak, angin merobohkan pepohonan, dan lembah tertutup air. 
Sejak itu, Danau Limboto diperlakukan sebagai ruang hidup yang harus dijaga bersama.",Taati kesepakatan; Jaga danau; Hormat pada alam,gorontalo;limboto;adat;pantangan,Tradisi lisan Gorontalo,CC0 (retelling original)
CR-035,Situ Bagendit (Nyi Endit),Jawa Barat (Garut),Jawa,Legenda Asal-usul,Nyi Endit; Pengemis tua; Warga desa,Seorang kaya yang kikir menolak menolong. Bumi terbelah dan desanya tenggelam menjadi Situ Bagendit.,"Nyi Endit kaya namun kikir. 
Seorang pengemis tua meminta air dan ditolak mentah-mentah. 
Pengemis menancapkan tongkat; tanah terbelah, air memancar dan menenggelamkan desa. 
Hanya rumah orang dermawan yang selamat. 
Danau itu dinamai Situ Bagendit agar orang ingat pentingnya berbagi.",Derma; Jangan sombong; Akibat kikir,garut;situ bagendit;nyai endit;kedermawanan,Tradisi lisan Sunda,CC0 (retelling original)
CR-036,Situ Patenggang,Jawa Barat (Ciwidey),Jawa,Legenda,Kian Santang; Dewi Rengganis,Sepasang kekasih terpisah bertahun-tahun lalu bertemu kembali. Air mata mereka membentuk danau dan batu cinta.,"Kian Santang dan Dewi Rengganis dipisahkan oleh keadaan. 
Setelah pencarian panjang, mereka bertemu di sebuah hamparan hijau. 
Air mata bahagia membentuk telaga; sebuah batu menjadi saksi janji setia. 
Tempat itu disebut Patenggang—saling mencari—sebagai lambang kesetiaan.",Kesetiaan; Ketabahan; Janji cinta,ciwidey;situ patenggang;kian santang;rengganis,Tradisi lisan Sunda,CC0 (retelling original)
CR-037,Ande-Ande Lumut,Jawa,Jawa,Legenda/Fabel Sosial,Ande-Ande Lumut; Kleting Kuning; Yuyu Kangkang,Kleting Kuning yang sederhana menolak bantuan Yuyu Kangkang dan tetap jujur; dialah yang terpilih oleh Ande-Ande Lumut.,"Putra bangsawan menyamar sebagai Ande-Ande Lumut untuk mencari calon yang berbudi. 
Banyak gadis ingin menyeberang sungai dan menerima tumpangan Yuyu Kangkang dengan syarat mencium. 
Kleting Kuning menolak, memutar jauh, dan tetap jujur. 
Ia pun dipilih karena budi pekerti, bukan kemewahan.",Menjaga kehormatan; Jujur; Tidak tergoda jalan pintas,ande-ande lumut;kleting kuning;yuyu kangkang;ujian,Tradisi lisan Jawa,CC0 (retelling original)
CR-038,Pan Balang Tamak,Bali,Bali,Satire Rakyat,Pan Balang Tamak; Kepala Desa; Warga,"Lelaki cerdik memelintir perintah demi kepentingannya, berujung pada hukuman sosial yang menertawakan kelicikan.","Pan Balang Tamak terkenal licik dan suka menafsirkan perintah seenaknya. 
Ia mengakali kerja bakti, menipu tetangga, dan lolos dari hukuman kecil. 
Akhirnya warga bersatu mengajarnya. 
Kisah ini menjadi satire tentang aturan yang harus dipahami dengan niat baik, bukan untuk disiasati.",Kejujuran; Etika bermasyarakat; Jangan akali aturan,bali;satire;kelicikan;adat,Tradisi lisan Bali,CC0 (retelling original)
CR-039,Ni Diah Tantri,Bali,Bali,Fabel,Ni Diah Tantri; Raja; Hewan-hewan,Kumpulan kisah fabel yang diceritakan Ni Diah Tantri untuk menasihati raja dengan humor dan hikmah.,"Ni Diah Tantri menuturkan kisah hewan yang cerdik, congkak, dan setia untuk menghibur serta menasihati raja. 
Setiap cerita membawa pelajaran: jangan sombong, jangan mudah percaya, hormati janji. 
Tradisi mendongeng ini memperkuat budaya tutur dan pendidikan karakter.",Didaktik; Kebijaksanaan; Pendidikan karakter,tantri;fabel;bali;dongeng istana,Tradisi lisan Bali,CC0 (retelling original)
CR-040,Nyai Roro Kidul (Penguasa Laut Selatan),Jawa (Pesisir Selatan),Jawa,Mitos,Nyai Roro Kidul; Raja-raja Mataram,Penguasa Laut Selatan dihormati sebagai pelindung dan penyeimbang; manusia diingatkan menghormati laut.,"Ombak selatan yang ganas diyakini dijaga oleh Nyai Roro Kidul. 
Raja-raja Mataram menjalin perjanjian simbolik untuk menyeimbangkan darat dan laut. 
Nelayan memberi sesaji sebelum berlayar. 
Mitos ini menanamkan rasa hormat pada alam dan batas-batas manusia.",Hormat pada alam; Keseimbangan; Batas manusia,laut selatan;sesaji;mataram;mitos,Tradisi lisan Jawa,CC0 (retelling original)
CR-041,Asal-usul Reog Ponorogo,Jawa Timur (Ponorogo),Jawa,Legenda Seni,Raja Kelana Sewandana; Warok; Singo Barong,"Kesenian reog lahir dari kisah keberanian dan kritik kepada penguasa, diwujudkan dalam topeng singa raksasa dan barisan warok.","Reog Ponorogo berkisah tentang Kelana Sewandana dan pasukan warok yang gagah. 
Topeng Singo Barong melambangkan kekuatan sekaligus sindiran terhadap keserakahan. 
Tarian, musik kendang, dan dadak merak menjadi simbol keberanian rakyat yang tetap santun dalam kritik.",Keberanian; Kritik yang santun; Identitas budaya,ponorogo;reog;singo barong;warok,Tradisi lisan Ponorogo,CC0 (retelling original)
CR-042,Danau Tempe,Sulawesi Selatan (Wajo),Sulawesi,Legenda Asal-usul,Nelayan; Naga Danau; Tetua,Pertempuran makhluk gaib menyebabkan tanah ambles dan membentuk Danau Tempe yang subur ikan.,"Nelayan Wajo menyaksikan cahaya dan pusaran besar di tengah rawa. 
Tetua adat mengatakan ada pertarungan makhluk penunggu air. 
Esoknya, tanah ambles dan air memenuhi cekungan. 
Danau Tempe menjadi sumber hidup dan harus dijaga pantangannya.",Jaga alam perairan; Hormati pantangan; Kebersamaan nelayan,wajo;danau tempe;rawa;adat,Tradisi lisan Bugis,CC0 (retelling original)
CR-043,Wa Kaa Kaa dan Dayana (Asal-usul Buton),Sulawesi Tenggara (Buton),Sulawesi,Legenda Sejarah,Wa Kaa Kaa; Dayana; Rakyat Wolio,Pertemuan Wa Kaa Kaa dan Dayana menandai awal Kesultanan Buton dan adat Wolio.,"Di pesisir Wolio, Wa Kaa Kaa bertemu perantau Dayana. 
Keduanya memimpin rakyat menyusun hukum adat dan tata pelabuhan. 
Kisah ini menjadi asal-usul institusi dan gelar di Buton, menekankan musyawarah sebagai dasar pemerintahan.",Musyawarah; Tata kelola; Persatuan pesisir,buton;wolio;adat;sultan,Tradisi lisan Buton,CC0 (retelling original)
CR-044,Danau Tolire,Maluku Utara (Ternate),Maluku,Legenda,Gadis; Ayah; Warga Ternate,Dosa besar memicu gempa; tanah terbelah menjadi Danau Tolire Besar dan Kecil.,"Sebuah kabar aib mengguncang kampung di kaki Gunung Gamalama. 
Bumi bergetar, tanah menganga, dan air memenuhi lubang besar. 
Warga menamai tempat itu Danau Tolire dan menetapkan pantangan untuk menjaga kesucian kampung.",Menjaga martabat; Taati norma; Dampak pelanggaran,ternate;tolire;gamalama;pantangan,Tradisi lisan Ternate,CC0 (retelling original)
CR-045,Batu Golog (Rote),Nusa Tenggara Timur (Rote Ndao),Nusa Tenggara,Legenda,Gadis Rote; Pemuda; Tetua Adat,Janji yang diingkari membuat sepasang kekasih terpisah; batu karang menyerupai wujud mereka dikenang sebagai Batu Golog.,"Di tepi pantai Rote, sepasang kekasih berjanji setia. 
Saat lamaran ditolak keluarga, mereka memilih melompat dari tebing. 
Ombak menjilat karang hingga menyerupai sosok berpelukan—disebut Batu Golog. 
Kisah ini mengingatkan pentingnya restu dan kebijaksanaan keluarga.",Restu orang tua; Kebijaksanaan; Setia pada janji,rote;batu golog;karang;janji,Tradisi lisan Rote,CC0 (retelling original)
CR-046,Asal-usul Komodo,Nusa Tenggara Timur (Komodo),Nusa Tenggara,Legenda Asal-usul,Loh Li; Putra manusia; Putra komodo,Seorang ibu melahirkan bayi manusia dan bayi komodo kembar. Ia diminta menyayangi keduanya sebagai saudara.,"Loh Li melahirkan anak kembar: satu manusia, satu komodo. 
Saat dewasa, putra manusia bertemu komodo besar di hutan dan hendak memburunya. 
Ibunya datang dan berkata mereka saudara. 
Sejak itu, warga pulau menghormati komodo dan hidup berdampingan dengan bijak.",Harmoni dengan alam; Tidak serakah; Hormati kehidupan liar,komodo;lohan;saudara;konservasi,Tradisi lisan Pulau Komodo,CC0 (retelling original)
CR-047,Asal-usul Raja Ampat,Papua Barat Daya,Papua,Mitos Asal-usul,Putri Telur; Empat Pangeran; Penjaga Hutan,Empat telur menetas menjadi pangeran yang menjadi raja di empat pulau besar Raja Ampat.,"Seorang pemburu menemukan telur besar di hutan keramat. 
Dari telur menetas empat bayi laki-laki dan satu perempuan. 
Anak-anak itu kelak menjadi penguasa di empat pulau: Waigeo, Salawati, Batanta, Misool. 
Mitos ini menegaskan asal-usul kepemimpinan dan tanggung jawab menjaga hutan perairan.",Kepemimpinan; Jaga ekosistem; Asal-usul masyarakat,raja ampat;telur;empat pulau;mitos,Tradisi lisan Raja Ampat,CC0 (retelling original)
CR-048,Calon Arang,Bali (Kediri/Bali dalam versi rakyat),Bali/Java,Legenda,Calon Arang; Mpu Bharadah; Ratna Manggali,Seorang penyihir menyebar pageblug karena dendam. Pertarungan ilmu dengan Mpu Bharadah mengembalikan ketertiban.,"Calon Arang sakit hati karena putrinya sulit dipinang. 
Ia memanggil kekuatan kelam hingga wabah melanda. 
Mpu Bharadah menasihati dan akhirnya menaklukkan kegelapan melalui tapa dan ilmu yang lurus. 
Desa kembali tenteram; orang belajar bahwa ilmu harus untuk kebaikan.",Gunakan ilmu dengan benar; Jangan dendam; Tapa brata,calon arang;bharadah;wabah;ilmu hitam,Tradisi lisan Jawa-Bali,CC0 (retelling original)
CR-049,Asal-usul Banyumas (Si Umbul),Jawa Tengah (Banyumas),Jawa,Legenda Asal-usul,Si Umbul; Adipati Wirasaba; Rakyat,Seorang pemuda jujur bernama Si Umbul membuat wilayah Wirasaba bagian barat dikenal sebagai Banyumas—air yang jernih.,"Si Umbul menolong rakyat menggali saluran air hingga sawah makmur. 
Airnya jernih ('banyu emas' yang dimaknai banyu mas). 
Penguasa mengangkatnya pemimpin wilayah barat Wirasaba. 
Daerah itu kemudian dikenal Banyumas, melambangkan kejujuran dan kerja untuk rakyat.",Hidup untuk rakyat; Kejujuran; Kerja nyata,banyumas;si umbul;irigasi;asal-usul,Tradisi lisan Banyumas,CC0 (retelling original)
CR-050,Asal-usul Kota Bima (Ncuhi),Nusa Tenggara Barat (Bima),Nusa Tenggara,Legenda Sejarah,Para Ncuhi; Sang Bima; Rakyat Dana Mbojo,Para kepala adat (Ncuhi) mempersatukan kampung-kampung menjadi Bima dengan sumpah menjaga adat dan laut.,"Di Dana Mbojo, para Ncuhi memimpin kampung masing-masing. 
Ancaman perompak membuat mereka bersatu dan mengangkat seorang pemersatu. 
Mereka bersumpah menjaga laut, ladang, dan adat. 
Persatuan itu menjadi cikal-bakal Kota Bima yang menjujung gotong royong.",Persatuan; Gotong royong; Menjaga laut dan adat,bima;ncuhi;dana mbojo;persatuan,Tradisi lisan Bima,CC0 (retelling original)
CR-051,Asal-usul Kota Pontianak,Kalimantan Barat (Pontianak),Kalimantan,Legenda Sejarah,Syarif Abdurrahman; Penjaga Sungai; Hantu Kuntilanak,Gangguan makhluk gaib di muara Kapuas diusir dengan tembakan meriam. Penetapan tapak kerajaan melahirkan nama Pontianak.,"Rombongan Syarif Abdurrahman menyusuri muara Kapuas untuk mencari tempat mendirikan pemukiman.
Di kegelapan rawa, suara tawa dan gangguan gaib mengusik perahu. 
Ia menembakkan meriam ke arah suara, lalu hening menyelimuti hutan nipah.
Di sana didirikan keraton dan masjid pertama. 
Orang menamai tempat itu Pontianak, mengingat peristiwa pengusiran gangguan di muara sungai.",Keberanian; Kepemimpinan; Menjaga batas alam-gaib,kapuas;meriam;keraton;muara,Tradisi lisan Kalimantan Barat,CC0 (retelling original)
CR-052,Si Lancang,Riau,Sumatra,Legenda,Si Lancang; Ibunda; Raja Negeri,"Si Lancang melupakan ibunya setelah kaya. Perahunya karam dan harta berhamburan di sungai, menjadi pelajaran tentang durhaka.","Si Lancang berangkat merantau dan menjadi saudagar kaya.
Saat kembali, ia malu pada ibunya yang miskin dan mengusirnya dari perahu.
Langit menghitam; badai menggulung Sungai Kampar, perahu kandas dan harta berserakan.
Si Lancang menyesal terlambat—nama baiknya tinggal dongeng yang memperingatkan anak agar tidak durhaka.",Bakti pada ibu; Rendah hati; Rezeki harus disyukuri,riau;kampar;saudagar;durhaka,Tradisi lisan Melayu Riau,CC0 (retelling original)
CR-053,Bujang Sembilan (Danau Maninjau),Sumatera Barat,Sumatra,Legenda Asal-usul,Bujang Sembilan; Gadis; Tetua Kampung,Fitnah menyebabkan sembilan pemuda bersumpah. Gunung meletus dan cekungan besar terisi air menjadi Danau Maninjau.,"Sembilan bujang jatuh cinta pada seorang gadis. Fitnah memecah kampung.
Mereka bersumpah di puncak bahwa kebenaran akan tampak.
Gunung pun bergemuruh, batu longsor, dan cekungan raksasa terisi air.
Itulah Danau Maninjau, pengingat agar lidah dijaga dan fitnah dihindari.",Jangan memfitnah; Menjaga lisan; Musyawarah,maninjau;bujang sembilan;sumbar;danau,Tradisi lisan Minangkabau,CC0 (retelling original)
CR-054,Putri Pinang Masak,Jambi,Sumatra,Legenda,Putri Pinang Masak; Pangeran; Rakyat Jambi,Putri cantik dengan wibawa menolak lamaran yang memicu perang. Kebijaksanaannya menyatukan negeri Jambi.,"Putri Pinang Masak terkenal elok dan arif. Banyak pangeran datang meminang.
Ketika konflik memanas, ia memilih jalan damai dengan syarat yang melindungi rakyat.
Para pemimpin tunduk pada kebijakan itu, sehingga negeri Jambi aman.
Nama putri dikenang sebagai teladan pemimpin yang mengutamakan rakyat.",Kebijaksanaan; Perdamaian; Kepemimpinan perempuan,jambi;putri;damai;negeri,Tradisi lisan Jambi,CC0 (retelling original)
CR-055,Batu Belah Batu Betangkup,Sumatra/Melayu,Sumatra,Legenda,Ibu; Anak; Batu Keramat,Seorang ibu putus asa memohon pada batu keramat agar menelannya; penyesalan menyisakan nasihat tentang sabar dan sayang keluarga.,"Kemiskinan dan rengekan anak membuat seorang ibu putus asa.
Di hutan, ia memohon pada batu keramat untuk menelannya agar beban selesai.
Batu terbelah dan menutup kembali, anak-anak menjerit terlambat.
Kisah ini menasihati keluarga agar saling menguatkan dan tidak tega mengucap kata menyakiti.",Sabar; Sayang keluarga; Menahan emosi,batu belah;melayu;keramat;ibu,Tradisi lisan Melayu Sumatra,CC0 (retelling original)
CR-056,Jayaprana dan Layonsari,Bali (Buleleng),Bali,Legenda Tragis,Jayaprana; Layonsari; Raja,Pasangan suci dikhianati oleh hasrat penguasa. Kematian mereka diperingati sebagai kisah cinta dan kesetiaan.,"Jayaprana, pemuda jujur, menikahi Layonsari yang cantik.
Raja terpikat dan mengutus Jayaprana dalam tugas berbahaya.
Jayaprana gugur, Layonsari memilih setia menyusulnya.
Di hutan, keduanya dihormati sebagai simbol kesetiaan yang tak kalah dari kekuasaan.",Kesetiaan; Bahaya nafsu berkuasa; Integritas,bali;jayaprana;layonsari;tragis,Tradisi lisan Bali,CC0 (retelling original)
CR-057,Tirta Empul (Mata Air Tampaksiring),Bali (Gianyar),Bali,Legenda Asal-usul,Dewa Indra; Raja Mayadenawa; Rakyat Bali,Dewa membuka mata air suci untuk menyembuhkan rakyat dari racun raja zalim. Mata air itu disebut Tirta Empul.,"Raja Mayadenawa menebar racun pada rakyat.
Dewa Indra menghujam tanah dengan tongkatnya; air jernih memancar menyembuhkan orang sakit.
Sumber itu dinamai Tirta Empul—air suci untuk penyucian.
Hingga kini, orang mandi di pancuran untuk memohon jernihnya hati.",Penyucian diri; Keadilan; Harapan,tampaksiring;air suci;indera;mayadenawa,Tradisi lisan Bali,CC0 (retelling original)
CR-058,Barong dan Rangda,Bali,Bali,Mitos,Barong; Rangda; Penari; Desa,Pertarungan abadi antara Barong (penjaga) dan Rangda (kekacauan) menjadi simbol keseimbangan hidup.,"Rangda bangkit membawa pageblug dan kekacauan.
Barong datang sebagai pelindung, menahan amuk dan mengembalikan keseimbangan.
Keduanya tidak musnah—sebab hidup selalu menimbang terang dan gelap.
Upacara dan tari menjadi doa bersama bagi keselamatan desa.",Keseimbangan; Gotong royong spiritual; Keteguhan,barong;rangda;upacara;bali,Tradisi lisan Bali,CC0 (retelling original)
CR-059,Aji Saka (Aksara Jawa),Jawa,Jawa,Legenda Asal-usul,Aji Saka; Dora; Sembada; Prabu Dewata Cengkar,Aji Saka menaklukkan raja pemakan manusia. Sandiwastra tentang Dora-Sembada melahirkan urutan aksara Jawa.,"Aji Saka datang ke Medang yang diperintah raja kejam Dewata Cengkar.
Ia menipu sang raja hingga terseret ke laut. 
Sementara dua pengikutnya, Dora dan Sembada, saling setia pada titah, berujung tragis.
Kisah mereka diabadikan dalam susunan aksara sebagai pelajaran tentang setia, jelas perintah, dan akibat salah paham.",Setia; Kejelasan amanah; Melawan kekejaman,aksara jawa;aji saka;medang;dora sembada,Tradisi lisan Jawa,CC0 (retelling original)
